企画ID,企画タイトル,配信開始日,配信終了日,有効開始日,有効終了日,配信対象者,付与対象者,配信媒体,個数/金額,ごと/以上,最低購入金額,回数制限,付与ポイント数,JANBOX条件,JANBOX,JAN,製品名,みなし個数,配信ステータス
4765,"松谷海苔	淡路島産一番摘み味付のり・手巻き海苔","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22",,,"rabi media",1,,,,20,,1,4978241213045,u6de1u8defu5cf6u7523u4e00u756au6458u307fu5473u4ed8u306eu308au3000uff18u5207uff15uff16u679a,1,admin.common.normal
4765,"松谷海苔	淡路島産一番摘み味付のり・手巻き海苔","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22",,,"rabi media",1,,,,20,,1,4978241300233,u6de1u8defu5cf6u7523u4e00u756au6458u307fu624bu5dfbu306eu308au3000uff12u5207uff12uff10u679a,1,admin.common.normal
4769,"阪急味ハートフルデイズ	ロースハム４連","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm1508598.2022-08-15T23:59:59+00:002022080820228.22UTCpmMon, 15 Aug 2022 23:59:59 +00008pm1508598.2022-08-15T23:59:59+00:002022080820228.0820228311115pm1508598.2022-08-15T23:59:59+00:002022080820228.15pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm1508598.2022-08-15T23:59:59+00:002022080820228.22UTCpmMon, 15 Aug 2022 23:59:59 +00008pm1508598.2022-08-15T23:59:59+00:002022080820228.0820228311115pm1508598.2022-08-15T23:59:59+00:002022080820228.15pm22",,,"rabi media",1,,,,5,,1,4562248664483,u30edu30fcu30b9u30cfu30e0uff14u9023u3000uff11uff16uff10uff47,1,admin.common.normal
4770,"井村屋	あずきバー","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm1508598.2022-08-15T23:59:59+00:002022080820228.22UTCpmMon, 15 Aug 2022 23:59:59 +00008pm1508598.2022-08-15T23:59:59+00:002022080820228.0820228311115pm1508598.2022-08-15T23:59:59+00:002022080820228.15pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm1508598.2022-08-15T23:59:59+00:002022080820228.22UTCpmMon, 15 Aug 2022 23:59:59 +00008pm1508598.2022-08-15T23:59:59+00:002022080820228.0820228311115pm1508598.2022-08-15T23:59:59+00:002022080820228.15pm22",,,"rabi media",1,,,,10,,1,4901006219167,"u3042u305au304du30d0u30fc  uff16u672cu5165u3000",1,admin.common.normal
4770,"井村屋	あずきバー","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm1508598.2022-08-15T23:59:59+00:002022080820228.22UTCpmMon, 15 Aug 2022 23:59:59 +00008pm1508598.2022-08-15T23:59:59+00:002022080820228.0820228311115pm1508598.2022-08-15T23:59:59+00:002022080820228.15pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm1508598.2022-08-15T23:59:59+00:002022080820228.22UTCpmMon, 15 Aug 2022 23:59:59 +00008pm1508598.2022-08-15T23:59:59+00:002022080820228.0820228311115pm1508598.2022-08-15T23:59:59+00:002022080820228.15pm22",,,"rabi media",10,,,,10,,1,,,,admin.common.normal
4771,"オハヨー乳業	BRULEE・ BRULEEチョコ","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22",,,"rabi media",1,,,,20,,1,4970020120117,uff22uff32uff35uff2cuff25uff25uff08u30d6u30eau30e5u30ecuff09u3000uff11uff10uff14uff4duff4c,1,admin.common.normal
4771,"オハヨー乳業	BRULEE・ BRULEEチョコ","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22",,,"rabi media",1,,,,20,,1,4970020120124,uff22uff32uff35uff2cuff25uff25uff08u30d6u30eau30e5u30ecuff09u30c1u30e7u30b3u3000uff11uff10uff14uff4duff4c,1,admin.common.normal
4772,カロリーメイト各種　1回のお会計で4つ購入で100ポイント,"2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22",,,"rabi media",4,,,,100,,1,4987035032410,u30abu30edu30eau30fcu30e1u30a4u30c8u30d6u30edu30c3u30afu3000u30e1u30fcu30d7u30ebu5473u3000uff14u672cuff08uff18uff10uff47uff09,1,admin.common.normal
4772,カロリーメイト各種　1回のお会計で4つ購入で100ポイント,"2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22",,,"rabi media",4,,,,100,,1,4987035090014,u30abu30edu30eau30fcu30e1u30a4u30c8u3000u30d6u30edu30c3u30afu3000u30d5u30ebu30fcu30c4u5473u3000uff14u672cuff08uff18uff10uff47uff09,1,admin.common.normal
4772,カロリーメイト各種　1回のお会計で4つ購入で100ポイント,"2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22",,,"rabi media",4,,,,100,,1,4987035090113,u30abu30edu30eau30fcu30e1u30a4u30c8u30d6u30edu30c3u30afu3000u30c1u30fcu30bau5473u3000uff14u672cuff08uff18uff10uff47uff09,1,admin.common.normal
4772,カロリーメイト各種　1回のお会計で4つ購入で100ポイント,"2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22",,,"rabi media",4,,,,100,,1,4987035092216,u30abu30edu30eau30fcu30e1u30a4u30c8u30d6u30edu30c3u30afu3000u30c1u30e7u30b3u30ecu30fcu30c8u5473u3000uff14u672cuff08uff18uff10uff47uff09,1,admin.common.normal
4772,カロリーメイト各種　1回のお会計で4つ購入で100ポイント,"2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22",,,"rabi media",4,,,,100,,1,4987035140610,u30abu30edu30eau30fcu30e1u30a4u30c8u30bcu30eau30fcu3000u30a2u30c3u30d7u30ebu5473u3000uff12uff11uff15uff47,1,admin.common.normal
4772,カロリーメイト各種　1回のお会計で4つ購入で100ポイント,"2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22",,,"rabi media",4,,,,100,,1,4987035350217,u30abu30edu30eau30fcu30e1u30a4u30c8u30eau30adu30c3u30c9u3000u30abu30d5u30a7u30aau30ecu5473u3000uff12uff10uff10uff4duff4c,1,admin.common.normal
4772,カロリーメイト各種　1回のお会計で4つ購入で100ポイント,"2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22",,,"rabi media",4,,,,100,,1,4987035350316,u30abu30edu30eau30fcu30e1u30a4u30c8u30eau30adu30c3u30c9u3000u30d5u30ebu30fcu30c4u30dfu30c3u30afu30b9u3000uff12uff10uff10uff4duff4c,1,admin.common.normal
4772,カロリーメイト各種　1回のお会計で4つ購入で100ポイント,"2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22",,,"rabi media",4,,,,100,,1,4987035350415,u30abu30edu30eau30fcu30e1u30a4u30c8u30eau30adu30c3u30c9u3000u30e8u30fcu30b0u31fdu30c8u5473u3000uff12uff10uff10uff4duff4c,1,admin.common.normal
4772,カロリーメイト各種　1回のお会計で4つ購入で100ポイント,"2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22","2022am0108008.2022-08-01T00:00:00+00:002022080820228.22UTCamMon, 01 Aug 2022 00:00:00 +00008am0108008.2022-08-01T00:00:00+00:002022080820228.082022831121am0108008.2022-08-01T00:00:00+00:002022080820228.01am22","2022pm3108598.2022-08-31T23:59:59+00:002022080820228.22UTCpmWed, 31 Aug 2022 23:59:59 +00008pm3108598.2022-08-31T23:59:59+00:002022080820228.0820228311131pm3108598.2022-08-31T23:59:59+00:002022080820228.31pm22",,,"rabi media",4,,,,100,,1,4987035648918,u30abu30edu30eau30fcu30e1u30a4u30c8u3000u30d0u30cbu30e9u5473u3000uff14u672cuff08uff18uff10uff47uff09,1,admin.common.normal
